JobTitle,job_role,Company,City,Column1,Province,remote?,Salary,Summary,experience?
Artificial Intelligence and Data Analytics post graduate instructor,others,Saskatchewan Polytechnic,Regina,, SK,NO,,"Enterprise data architecture and associated technologies.
Conversion of business questions into data mining problems.
Category of work Full Time.",no info
Data Science Intern,data scientist,Hitachi Solutions,Toronto,, ON,NO,,"Design strategies and propose algorithms to analyze and leverage data from existing as well as new data sources.
Strong EDA skills and experience/knowledge.",experience required
Machine Learning & Cloud Designer Summer Intern,data scientist,ALÉO Canada,Montreal,, QC,NO,,"2 years of relevant work experience in data analysis or related fields (e.g., work experience as a statistician/data scientist).",experience required
Sr. Data Scientist (Askuity),data scientist,The Home Depot Canada,Toronto,, ON,NO,,"3 years of experience in data mining and statistical analysis, demonstrated ability to identify key insights from data to solve business problems.",experience required
"Master, Data Scientist",data scientist,Trader Corporation,Toronto,, ON,NO,,"The Master-data scientist will supervise others.
Reporting to the VP - Software Engineering with dotted line to the chief architect, the Master Data Scientist…",no info
Applied Scientist - Trust and Safety (Remote),data scientist,Yelp,Toronto,, ON,Remote,,As an Applied Scientist on Trust & Safety you will employ your analytical skills to detect and understand content spam at Yelp.,no info
Data Scientist,data scientist,Robert Half,Hamilton,, ON,NO,"$65,000 - $75,000 a year","Load data and add into dashboards for various business units.
Load data and add into dashboards for various business units.",no info
Data Scientist,data scientist,Stradigi AI,Montreal,, QC,NO,,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",no info
"Research Intern, Artificial Intelligence",others,Facebook,Montreal,, QC,NO,,"Devise better data-driven models of human behavior, and/or.
Ability to manipulate and analyze complex, large scale, high-dimensionality data from varying…",no info
Machine Learning Engineer/Data Scientist,data scientist,IDES CANADA INC,Whitchurch-Stouffville,, ON,NO,"$50,000 - $80,000 a year","Able to extract data on your own and prepare a large data set to train a machine learning algorithm.
Demonstrable creativity in temporal and geospatial data…",no info
"Manager, Data Science, Intact Lab",data scientist,Intact,Vancouver,, BC,NO,,"Please note that for positions with access to financial data or funds, your credit must be in good standing.
Understanding of underlying Machine Learning theory…",no info
"Advisor, Data Science",data scientist,Desjardins,Levis,, QC,NO,,"As an advisor, data science, you help extract data and produce reports and indicators for the organization through the development and administration of…",no info
"Data, Apps, and Modern BI Technical Consultant",others,Ernst & Young,Toronto,, ON,NO,,"Experience with data virtualization, data automation, data architecture.
Bachelor’s degree in computer science, mathematics, data science, informatics, data…",experience required
Data Scientist - Tangerine,data scientist,Tangerine Bank,North York,, ON,NO,,Identify data gaps with respect to predicting customer behavior within the overall data environment and support projects to acquire such information.,no info
Data Scientist (AI/ML),data scientist,OGGN Inc.,Remote,,Remote,Remote,,The primary focus of the data scientist will be to identify trends in data to extract meaningful business insights and drive cross-functional business solutions…,no info
Lead Data Scientist,data scientist,Peak Power,Toronto,, ON,NO,,"Experience with computer vision and working with large data sets in data lakes and data warehouses, such as Amazon Athena, Amazon Redshift or Snowflake.",experience required
Data Scientist (AI/ML),data scientist,OGGN Inc.,Remote,,Remote,Remote,,The primary focus of the data scientist will be to identify trends in data to extract meaningful business insights and drive cross-functional business solutions…,no info
Data Scientist (French Services),data scientist,CBC/Radio-Canada,Montreal,, QC,NO,,"Comfortable analyzing complex data from various sources.
Passion for empirical research by using data to answer challenging questions.",no info
"Internal Auditor & Data Analyst, Summer 2021 Student Opportunities",business/data analyst,RBC,Toronto,, ON,NO,,"Understanding of data analytics and Tableau.
Interest, experience and skills in developing and applying innovative solutions (data analytics and data…",experience required
Senior Data Analyst,business/data analyst,Makeship,Remote,,Remote,Remote,,"Interest in data engineering and data science.
Set our cross-organization data strategy as our first data hire.
Knowledge or interest in data science.",no info
Senior Data Scientist,data scientist,MindGeek Careers,Montreal,, QC,NO,,"Load and clean the data.
Billions of data points are recorded daily from our products.
Familiarity with database environments (including distributed big data…",no info
"Manager, Data Science & Analytics",data scientist,Northbridge Financial Corporation,Toronto,, ON,NO,,"Nos employés sont engagés à comprendre les besoins de nos clients, et nous faisons tout en notre pouvoir pour aider les entreprises canadiennes à connaître un…",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","BS, MS or PhD in Computer Science or related field.
3+ years of professional or academic experience in machine learning.
Machine Learning: 3 years (required).",experience required
Applied Scientist,data scientist,Amazon Dev Centre Canada ULC,Vancouver,, BC,NO,,"Prior work experience as an applied scientist or a data scientist at a consumer product company.
As an applied scientist, you will bring statistical modeling…",experience required
Debt Strategy Analyst / Data Scientist,business/data analyst,Equifax,Toronto,, ON,NO,,"Expertise required in use of Python, R or SAS for data analytics & Tableau for data reporting & dashboard development.
Extra Points for any of the Following.",no info
Scientifique des données / Data Scientist,data scientist,CAE Inc.,Saint-Laurent,, QC,NO,,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",no info
"Data Scientist, Marketing & Web Analytics",data scientist,Prodigy Game,Oakville,, ON,NO,,"Collaborate with data scientists, data engineers, and team leads to create solutions which will directly affect Prodigy’s growth.",no info
"Master, Data Scientist",data scientist,Trader Corporation,Toronto,, ON,NO,,"The Master-data scientist will supervise others.
Reporting to the VP - Software Engineering with dotted line to the chief architect, the Master Data Scientist…",no info
Property & Specialty Claims Risk Data Analyst,business/data analyst,Aviva,Markham,, ON,NO,,"Continuous improvement of data repository.
Daily oversight of risk-focused data.
Adaptability to learning styles and needs of the data consumers.",no info
Senior Data Scientist,data scientist,SecurityScorecard,Quebec Province,,QC,NO,,"Experience with common data science toolkits and libraries.
2 years experience in big data technologies like Spark.
5+ years experience in Data Science.",experience required
Research Data Scientist,data scientist,Deepcell,Mountain View,, AB,NO,,"Effective communication with engineers and scientists from different disciplines.
Work with large, complex and ever growing data sets.",no info
UK Digital Data Science Innovation Lead,data scientist,Roche,Welwyn,, SK,NO,,"Understanding of programming languages used by data scientists like Python, R, Scala, Julia, Java, C++.
Experience implementing digital health tools, in data…",experience required
Data Scientist,data scientist,Scotiabank,Toronto,, ON,NO,,"Supporting key information technology initiatives, such as enhancements in single view of customer, customer data warehouse, CRM and campaign management tools.",no info
"Advanced Analytics Associate, Finance",others,Linamar Corp,Guelph,, ON,NO,,"Understanding of data management with a strong ability to collect, process, and interpret data.
Explore data sets and find innovative ways to source and…",no info
"Data Scientist, Sales & Customer Success",data scientist,Prodigy Game,Oakville,, ON,NO,,"Collaborate with data scientists, data engineers, and team leads to create solutions which will directly affect Prodigy’s growth.",no info
Machine Learning Engineer,data scientist,Motion Metrics International Corp.,Vancouver,, BC,NO,,The successful candidate will work alongside other data scientists and software developers to research and deploy new algorithms into our products.,no info
"Data Strategy - Operations Analyst (6 month contract, possibility of extension)",business/data analyst,Service Experts,Mississauga,, ON,NO,,"Create and maintain interactive data visualization through data interpretation and analyses, integrating various reporting components from multiple data sources…",no info
Senior Machine Learning Engineer,data scientist,Workday,Vancouver,, BC,NO,,"Experience in delivering products with large-scale, complex data sets, data modeling, and productizing machine learning algorithms.",experience required
Senior Data Analyst,business/data analyst,PointClickCare,Remote,,Remote,Remote,,"Provide guidance and leadership around data validation, ensuring the delivery of research grade data.
Seasoned experience in data analysis (preferably within…",experience required
Machine Learning Engineer,data scientist,Thoughtexchange,Canada,,Remote,Remote,,Detect patterns associated with our massive text and raw data to generate models enabling our customers with recommended actions and predicted results.,no info
Machine Learning Engineer,data scientist,Aspect Biosystems,Vancouver,, BC,NO,,Create and deploy automated data pipelines for continuous improvement of computer vision and data-driven features.,no info
"Research Intern, Artificial Intelligence",others,Facebook,Montreal,, QC,NO,,"Devise better data-driven models of human behavior, and/or.
Ability to manipulate and analyze complex, large scale, high-dimensionality data from varying…",no info
Data Science Lead,data scientist,Agility Fuel System,Kelowna,, BC,NO,,"Use data science techniques to find data patterns, anomalies, and optimization opportunities through analytical solutions.
Monthly / Weekly reporting of data.",no info
Property & Specialty Claims Risk Data Analyst,business/data analyst,Aviva,Markham,, ON,NO,,"Continuous improvement of data repository.
Daily oversight of risk-focused data.
Adaptability to learning styles and needs of the data consumers.",no info
Machine Learning Engineer,data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Balance building technically advanced solutions and swiftly shipping.",no info
"Machine Learning Intern (ML-Agents), AI@Unity",data scientist,Unity Technologies,Vancouver,, BC,NO,,"Proficiency in data structures, algorithms, and software design.
You will have the opportunity to extend state-of-the-art machine learning within this ecosystem…",no info
Data Scientist,data scientist,Guestlogix,Remote,,Remote,Remote,,"With our platform, airlines can deliver content that lets passengers tailor their trip uniquely for themselves.",no info
Data Scientist,data scientist,Canadian Security Intelligence Service,Ottawa,, ON,NO,"$95,350 - $116,060 a year","The candidate must possess seven (7) years of experience in data science, data analytics or data mining.
Field of study related to data analytics.",experience required
Data Scientist,data scientist,Services Conseils IntelliSoft inc.,Montreal,, QC,NO,,"Extraire et analyser les données se trouvant dans les bases de données de l’entreprise afin d’optimiser et d’améliorer le développement des produits, les…",no info
Principal Applied Scientist Manager – Content Recommendation,data scientist,Microsoft,Vancouver,, BC,NO,,"You will work with teams of talented scientists, and fill the ranks by attracting the best scientists in machine learning, e.g. personalized recommendation, NLP…",no info
Data Science Manager - Marketplaces (Remote),data scientist,Yelp,Toronto,, ON,Remote,,Partner with data architects to ensure that Data Science initiatives and analytical solutions are aligned with the enterprise technology roadmap.,no info
Data Scientist(ML-Ops),data scientist,Loblaw Companies Limited,Brampton,, ON,NO,,"Actively identify and execute initiatives to improve data extraction, data preparation and data modelling processes.",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","BS, MS or PhD in Computer Science or related field.
3+ years of professional or academic experience in machine learning.
Machine Learning: 3 years (required).",experience required
"Data Scientist, Marketing & Web Analytics",data scientist,Prodigy Game,Oakville,, ON,NO,,"Collaborate with data scientists, data engineers, and team leads to create solutions which will directly affect Prodigy’s growth.",no info
Data Scientist,data scientist,Torstar,Toronto,, ON,NO,,"Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.
Explain results of complex data solutions and advanced…",experience required
DATA SCIENTIST,data scientist,Integra Data & Analytic Solutions,Calgary,, AB,NO,,"Strong understanding of data structure, data modelling, and data transformation.
Strong Coding skills in Python or other data mining tools.",no info
Data Scientist,data scientist,thinkCOMPASS,Concord,, ON,NO,,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",no info
Machine Learning Engineer,data scientist,Aspect Biosystems,Vancouver,, BC,NO,,Create and deploy automated data pipelines for continuous improvement of computer vision and data-driven features.,no info
Data Scientist,data scientist,Huddle,Moncton,, NB,NO,,"Strong understanding of data and business.
Past experience working with time series data.
Conceiving and developing data driven solutions for clients.",experience required
Machine Learning Engineer,data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Balance building technically advanced solutions and swiftly shipping.",no info
"Manager, Data Analytics, Financial Advisory",others,Deloitte,Toronto,, ON,NO,,"The team relies on expertise in data engineering, data science, and data visualization to drive value for clients.",no info
Sr. Data Analyst,business/data analyst,Rogers Communications,Toronto,, ON,NO,,"Use SAS and SQL to extract data from “Big Data” sources.
Reporting to the Sr. Manager of Analytics, the successful candidate will be a motivated and energetic…",no info
"Director, Data Science",data scientist,Clarius,Vancouver,, BC,NO,,"Lead and grow a team of highly skilled professionals in the data science field, including data scientists, clinical scientists and data analysts.",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","BS, MS or PhD in Computer Science or related field.
3+ years of professional or academic experience in machine learning.
Machine Learning: 3 years (required).",experience required
Senior Data Analyst,business/data analyst,Jam City,Toronto,, ON,NO,,"Coordinates research and analytic activities utilizing various data points (unstructured and structured) and employ programming to clean, massage, and organize…",no info
"Data Scientist, Marketing & Web Analytics",data scientist,Prodigy Game,Oakville,, ON,NO,,"Collaborate with data scientists, data engineers, and team leads to create solutions which will directly affect Prodigy’s growth.",no info
Senior Data Scientist,data scientist,Hopper,Canada,,Remote,Remote,,Use machine learning and big data tools on tremendously large and complex data to deepen our data-driven advice and personalized modeling.,no info
"Machine Learning Engineer, Biometrics",data scientist,Jumio Corporation,Montreal,, QC,NO,,"Designing and implementing components to make Jumio biometric verification solution the best on the market.
Develop machine learning solutions to integrate in…",no info
Machine Learning Engineering Specialist 3165846,data scientist,Morgan Stanley,Montreal,, QC,NO,,"EDUCATION LEVEL: Bachelor's Degree.
Tech BD manages Morgan Stanley’s strategic relationships with external technology companies, and Technology Innovation…",no info
SAP iXp Intern - AI Product Engineering: Product Intelligence,data engineer,SAP,Montreal,, QC,NO,,"Creating and enhancing backend AI services that generate insight out of data.
Work Area: Software-Design and Development.",no info
Applied AI Scientist II,data scientist,Bentley Systems,Quebec City,, QC,NO,,"Analyse data integrity and quality.
Clean data and prepares training datasets.
Assist in data acquisition from various sources.",no info
Senior Data Engineer (Machine Learning),data scientist,ICBC,North Vancouver,, BC,NO,,"Strong data quality management process understanding, data analysis and data profiling.
The project teams consist of data scientists, data engineers, business…",no info
Sports Betting Python Developer (Data Science team),data scientist,Sports Betting Platform,Remote,,Remote,Remote,"$70,000 - $110,000 a year",You'll be the primary data miner and python developer on the data science team and collaborate with a diverse team of engineers and data scientists.,no info
"Senior Actuarial Manager, Data Science",data scientist,Aviva,Montreal,, QC,NO,,"The capacity to oversee, develop and mentor a highly productive team of data scientists, actuaries & insurance professionals.",no info
Data Analyst,business/data analyst,Fusion Analytics,Canada,,Remote,Remote,,"Competitive top-tier data science level salary, health & dental benefits, share options at the management level.
Team builders (e.g. BBQs, board game nights).",no info
"Senior Data Scientist, GANs TORONTO, ONSOFTWARE",data scientist,Tonal,Toronto,, ON,NO,,"Provide expert input on architecture of Tonal's learning systems.
Architect and build our machine learning and computer vision solutions.",no info
Sr. Data Analyst,business/data analyst,Moz,British Columbia,,BC,NO,,"Collaborate with other team members to build and optimize our data lake, data warehouse, and ETL tech stack.
You know data - structured and unstructured.",no info
"Data Scientist, Summer Student 2021 Opportunities",data scientist,RBC,Toronto,, ON,NO,,"Expert in data extract, transform, and load processes with a variety of data types.
Ability to perform complex data analysis on large volumes of data and…",no info
Senior Machine Learning Scientist,data scientist,1QBit,Vancouver,, BC,NO,,"2+ year of industrial experience working with text data.
As a Senior Machine Learning Scientist, not only will you be a principal contributor responsible for…",experience required
Data Scientist,data scientist,Torstar,Toronto,, ON,NO,,"Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.
Explain results of complex data solutions and advanced…",experience required
Data Science Instructor,data scientist,Juno College of Technology,Toronto,, ON,NO,"$70,000 - $85,000 a year","Are passionate about teaching data science and data fluency skills.
Contribute expertise to in-house data science projects using Juno’s data sets.",no info
Applied AI Scientist II,data scientist,Bentley Systems,Quebec City,, QC,NO,,"Analyse data integrity and quality.
Clean data and prepares training datasets.
Assist in data acquisition from various sources.",no info
Sr Data Scientist,data scientist,407 ETR,Woodbridge,, ON,NO,,"Assemble and analyze data to understand customer behavior from existing 407 ETR data, external data sources and emerging sources.",no info
"Associate Scientist, Machine Learning",data scientist,Zymeworks,Vancouver,, BC,NO,,Leverage public databases and Zymeworks’ proprietary data as well as in-house computational infrastructure to develop scalable tools and automated workflows for…,no info
Data Science Manager - Marketplaces (Remote),data scientist,Yelp,Toronto,, ON,Remote,,Partner with data architects to ensure that Data Science initiatives and analytical solutions are aligned with the enterprise technology roadmap.,no info
Senior Data Scientist,data scientist,Instacart,Toronto,, ON,NO,,Enable objective decision making across the company by democratizing data through dashboards and other analytical tools.,no info
Lead Data Scientist - RACE21,data scientist,Teck Resources Limited,Vancouver,, BC,NO,,"Strong interpersonal skills and previous experience coaching and mentoring data scientists.
Provide expert guidance on Teck’s data, systems and environment to…",experience required
"Senior Data Scientist, Decision Science",data scientist,Coursera,Toronto,, ON,NO,,Partner with other data scientists to develop measurement plans for new data product launches and to share context from different areas of the business and…,no info
Product Manager – Data Science,data scientist,Aviva,Markham,, ON,NO,,"Educational or industry experience in data science, computer science or related field.
Engage directly with users, empathize with their experience and use data…",experience required
Senior Data Analyst,business/data analyst,Wattpad,Toronto,, ON,NO,,"The goal is to advocate for and facilitate data-informed decision-making throughout the organization.
2-5+ years working in a data analyst, business analyst,…",experience required
"Machine Learning Engineer, Biometrics",data scientist,Jumio Corporation,Montreal,, QC,NO,,"Designing and implementing components to make Jumio biometric verification solution the best on the market.
Develop machine learning solutions to integrate in…",no info
Data Scientist,data scientist,Auvik Networks,Ontario,,ON,NO,,"Develop custom data models and algorithms to apply to data sets.
We are looking for a data scientist who will support our leadership, product, sales, success…",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","BS, MS or PhD in Computer Science or related field.
3+ years of professional or academic experience in machine learning.
Machine Learning: 3 years (required).",experience required
